TIME,cntry,immi_rate
2019,MT,5.7421706
2019,LU,4.3440724
2019,CY,2.9877874
2019,IS,2.7653358
2019,LI,1.8943145
2019,IE,1.7460402
2019,CH,1.6985024
2019,ES,1.5989071
2019,SI,1.5050641
2019,LT,1.4339428
2019,EE,1.378225
2019,BE,1.3094649
2019,NL,1.2484317
2019,AT,1.2323036
2019,EL,1.2071221
2019,SE,1.1319932
2019,DE,1.0676336
2019,DK,1.0572364
2019,RO,1.0426353
2019,GB,1.0216587
2019,CZ,0.9942722
2019,HR,0.9255084
2019,NO,0.9136273
2019,HU,0.9064076
2019,PT,0.7076745
2019,PL,0.5968718
2019,FI,0.5936658
2019,LV,0.584541
2019,FR,0.5739872
2019,IT,0.5563298
2019,BG,0.5418398
2019,SK,0.128724
